Feature,Score
admin name2__Clinton,0
admin name2__Coahoma,0
admin name2__Coal,0
admin name2__Cobb,2
admin name2__Cochise,0
admin name2__Cocke,0
admin name2__Coconino,0
admin name2__Coffee,0
admin name2__Colbert,0
admin name2__Colleton,0
admin name2__Collier,0
admin name2__Collin,0
admin name2__Colorado,0
admin name2__Colquitt,0
admin name2__Columbia,0
admin name2__Columbiana,0
admin name2__Columbus,0
admin name2__Colusa,0
admin name2__Comal,0
admin name2__Comanche,0
admin name2__Contra Costa,1
admin name2__Converse,0
admin name2__Conway,0
admin name2__Cook,0
admin name2__Cooke,0
admin name2__Cooper,0
admin name2__Coos,0
admin name2__Copiah,0
admin name2__Cortland,0
admin name2__Coshocton,0
admin name2__Covington (city),0
admin name2__Coweta,0
admin name2__Cowley,0
admin name2__Cowlitz,0
admin name2__Craighead,0
admin name2__Craven,0
admin name2__Crawford,13
admin name2__Creek,0
admin name2__Crittenden,0
admin name2__Cross,0
admin name2__Crow Wing,0
admin name2__Cullman,0
admin name2__Cumberland,0
admin name2__Curry,0
admin name2__Custer,0
admin name2__Cuyahoga,0
admin name2__Dakota,0
admin name2__Dallas,12
admin name2__Dane,0
admin name2__Danville (city),0
admin name2__Dare,0
admin name2__Dauphin,0
admin name2__Davidson,2
admin name2__Daviess,0
admin name2__Davis,0
admin name2__Dawson,0
admin name2__De Witt,0
admin name2__DeKalb,0
admin name2__DeSoto,0
admin name2__DeWitt,0
admin name2__Dearborn,0
admin name2__Decatur,0
admin name2__Delaware,0
admin name2__Delta,0
admin name2__Denton,0
admin name2__Denver,0
admin name2__Des Moines,0
admin name2__Deschutes,0
admin name2__Dickinson,0
admin name2__Dickson,0
admin name2__Dillon,0
admin name2__Dimmit,0
admin name2__Dinwiddie,0
admin name2__District of Columbia,0
admin name2__Dodge,0
admin name2__Donley,0
admin name2__Dorchester,0
admin name2__Douglas,0
admin name2__Doña Ana,0
admin name2__DuPage,0
admin name2__Dubois,0
admin name2__Dubuque,0
admin name2__Dunn,0
admin name2__Duplin,0
admin name2__Dutchess,0
admin name2__Duval,0
admin name2__Dyer,0
admin name2__Eagle,0
admin name2__East Baton Rouge Parish,0
admin name2__Eastland,0
admin name2__Eaton,0
admin name2__Eau Claire,0
admin name2__Ector,0
admin name2__Eddy,0
admin name2__Edgecombe,0
admin name2__Effingham,0
admin name2__El Dorado,0
admin name2__El Paso,0
admin name2__Elk,0
admin name2__Ellis,0
admin name2__Elmore,0
admin name2__Emmet,0
admin name2__Emmons,0
admin name2__Erath,0
admin name2__Erie,0
admin name2__Escambia,0
admin name2__Essex,0
admin name2__Etowah,0
admin name2__Evangeline,0
admin name2__Evans,0
admin name2__Fairbanks North Star,0
admin name2__Fairfax,0
admin name2__Fairfax (city),0
admin name2__Fairfield,0
admin name2__Fannin,0
admin name2__Faulkner,0
admin name2__Fauquier,0
admin name2__Fayette,2
admin name2__Fentress,0
admin name2__Flagler,0
admin name2__Flathead,0
admin name2__Florence,0
admin name2__Floyd,0
admin name2__Fond du Lac,0
admin name2__Forrest,0
admin name2__Forsyth,0
admin name2__Fort Bend,0
admin name2__Franklin,6
admin name2__Frederick,0
admin name2__Freeborn,0
admin name2__Fresno,0
admin name2__Fulton,0
admin name2__Gadsden,0
admin name2__Gaines,0
admin name2__Gallatin,0
admin name2__Gallia,0
admin name2__Galveston,0
admin name2__Garfield,0
admin name2__Garland,0
admin name2__Gaston,0
admin name2__Geary,0
admin name2__Geauga,0
admin name2__Genesee,0
admin name2__Geneva,0
admin name2__Gibson,0
admin name2__Gila,0
admin name2__Giles,0
admin name2__Gillespie,0
admin name2__Gladwin,0
admin name2__Gloucester,0
admin name2__Glynn,0
admin name2__Gogebic,0
admin name2__Goliad,0
admin name2__Gonzales,39
admin name2__Goodhue,0
admin name2__Gooding,0
admin name2__Gordon,0
admin name2__Grafton,0
admin name2__Graham,0
admin name2__Grainger,0
admin name2__Grand,0
admin name2__Grand Forks,0
admin name2__Grand Traverse,0
admin name2__Grant,0
admin name2__Granville,0
admin name2__Gratiot,0
admin name2__Grays Harbor,0
admin name2__Grayson,0
admin name2__Green,0
admin name2__Greene,0
admin name2__Greenup,0
admin name2__Greenville,10
admin name2__Greenwood,0
admin name2__Gregg,0
admin name2__Grimes,0
admin name2__Grundy,0
admin name2__Guadalupe,0
admin name2__Guernsey,0
admin name2__Guilford,0
admin name2__Gulf,0
admin name2__Gwinnett,0
admin name2__Habersham,0
admin name2__Halifax,0
admin name2__Hall,0
admin name2__Hamblen,0
admin name2__Hamilton,0
admin name2__Hampden,0
admin name2__Hampshire,0
admin name2__Hampton,0
admin name2__Hancock,0
admin name2__Hanover,0
admin name2__Haralson,0
admin name2__Hardeman,0
admin name2__Hardin,0
admin name2__Harford,0
admin name2__Harris,0
admin name2__Harrison,0
admin name2__Hartford,0
admin name2__Harvey,0
admin name2__Haskell,0
admin name2__Hawaii,0
admin name2__Hawkins,0
admin name2__Hays,0
admin name2__Haywood,0
admin name2__Henderson,0
admin name2__Hendricks,0
admin name2__Hennepin,0
admin name2__Henrico,0
admin name2__Henry,0
admin name2__Herkimer,0
admin name2__Hernando,0
admin name2__Hickman,0
admin name2__Hickory,0
admin name2__Hidalgo,0
admin name2__Highland,0
admin name2__Highlands,0
admin name2__Hill,0
admin name2__Hillsborough,0
admin name2__Hinds,0
admin name2__Hocking,0
admin name2__Hodgeman,0
admin name2__Hoke,0
admin name2__Holmes,0
admin name2__Holt,0
admin name2__Honolulu,0
admin name2__Hood,0
admin name2__Hood River,0
admin name2__Hopkins,0
admin name2__Horry,0
admin name2__Hot Spring,0
admin name2__Houston,0
admin name2__Howard,0
admin name2__Hudson,0
admin name2__Humboldt,0
admin name2__Humphreys,0
admin name2__Hunt,0
admin name2__Hunterdon,0
admin name2__Huntingdon,0
admin name2__Huntington,0
admin name2__Huron,0
admin name2__Hyde,0
admin name2__Iberia,0
admin name2__Iberville,0
admin name2__Independence,0
admin name2__Indian River,0
admin name2__Indiana,0
admin name2__Ingham,0
admin name2__Ionia,0
admin name2__Iosco,0
admin name2__Iowa,0
admin name2__Iredell,0
admin name2__Iron,0
admin name2__Iroquois,0
admin name2__Isanti,0
admin name2__Island,0
admin name2__Itasca,0
admin name2__Jack,0
admin name2__Jackson,0
admin name2__Jasper,0
admin name2__Jefferson,2
admin name2__Jefferson Davis,0
admin name2__Jefferson Parish,0
admin name2__Jenkins,0
admin name2__Jerome,0
admin name2__Jersey,0
admin name2__Jessamine,0
admin name2__Jim Wells,0
admin name2__Jo Daviess,0
admin name2__Johnson,0
admin name2__Johnston,0
admin name2__Jones,0
admin name2__Juneau City and Borough,0
admin name2__Kalamazoo,0
admin name2__Kalkaska,0
admin name2__Kanabec,0
admin name2__Kanawha,0
admin name2__Kandiyohi,0
admin name2__Kane,0
admin name2__Kankakee,0
admin name2__Kaufman,0
admin name2__Kay,0
admin name2__Kenai Peninsula,0
admin name2__Kendall,0
admin name2__Kennebec,0
admin name2__Kenosha,0
admin name2__Kent,0
admin name2__Kenton,0
admin name2__Keokuk,0
admin name2__Kern,0
admin name2__Kershaw,0
admin name2__Kewaunee,0
admin name2__King,11
admin name2__King William,0
admin name2__King and Queen,0
admin name2__Kingfisher,0
admin name2__Kings,0
admin name2__Kingsbury,0
admin name2__Kiowa,0
admin name2__Kit Carson,0
admin name2__Kitsap,0
admin name2__Knox,0
admin name2__Kootenai,0
admin name2__Kosciusko,0
admin name2__La Crosse,0
admin name2__La Plata,0
admin name2__La Salle,0
admin name2__LaGrange,0
admin name2__LaPorte,0
admin name2__Labette,0
admin name2__Lackawanna,0
admin name2__Laclede,0
admin name2__Lafayette,0
admin name2__Lafourche,0
admin name2__Lake,0
admin name2__Lamar,0
admin name2__Lancaster,0
admin name2__Lane,0
admin name2__Lapeer,0
admin name2__Laramie,0
admin name2__Larimer,0
admin name2__Latah,0
admin name2__Latimer,0
admin name2__Lauderdale,0
admin name2__Laurel,0
admin name2__Laurens,0
admin name2__Lavaca,0
admin name2__Lawrence,0
admin name2__Le Flore,0
admin name2__Le Sueur,0
admin name2__Lea,0
admin name2__Leavenworth,0
admin name2__Lebanon,0
admin name2__Lee,0
admin name2__Leflore,0
admin name2__Lehigh,0
admin name2__Lenawee,0
admin name2__Leon,0
admin name2__Levy,0
admin name2__Lewis,0
admin name2__Lewis and Clark,0
admin name2__Lexington,2
admin name2__Lexington (city),0
admin name2__Liberty,0
admin name2__Licking,0
admin name2__Limestone,0
admin name2__Lincoln,0
admin name2__Linn,0
admin name2__Litchfield,0
admin name2__Little River,0
admin name2__Livingston,0
admin name2__Llano,0
admin name2__Lonoke,0
admin name2__Lorain,0
admin name2__Los Angeles,0
admin name2__Loudon,0
admin name2__Loudoun,0
admin name2__Louisa,0
admin name2__Love,0
admin name2__Lowndes,0
admin name2__Lubbock,0
admin name2__Lucas,0
admin name2__Luzerne,0
admin name2__Lycoming,0
admin name2__Lyon,0
admin name2__Macomb,0
admin name2__Macon,0
admin name2__Macoupin,0
admin name2__Madera,0
admin name2__Madison,0
admin name2__Mahoning,0
admin name2__Manassas Park (city),0
admin name2__Manatee,0
admin name2__Marathon,0
admin name2__Maricopa,1
admin name2__Marin,0
admin name2__Marinette,0
admin name2__Marion,7
admin name2__Marlboro,0
admin name2__Marquette,0
admin name2__Marshall,0
admin name2__Martin,0
admin name2__Martinsville (city),0
admin name2__Mason,0
admin name2__Massac,0
admin name2__Matagorda,0
admin name2__Matanuska-Susitna Borough,0
admin name2__Maui,0
admin name2__Maury,0
admin name2__Maverick,0
admin name2__Mayes,0
admin name2__McClain,0
admin name2__McCormick,0
admin name2__McCreary,0
admin name2__McCurtain,0
admin name2__McDonough,0
admin name2__McDowell,0
admin name2__McDuffie,0
admin name2__McHenry,0
admin name2__McIntosh,0
admin name2__McKinley,0
admin name2__McLean,0
admin name2__McLennan,0
admin name2__McLeod,0
admin name2__McMinn,0
admin name2__McNairy,0
admin name2__McPherson,0
admin name2__Meade,0
admin name2__Mecklenburg,0
admin name2__Medina,0
admin name2__Meeker,0
admin name2__Meigs,0
admin name2__Menard,0
admin name2__Mendocino,0
admin name2__Menifee,0
admin name2__Merced,0
admin name2__Mercer,0
admin name2__Merrick,0
admin name2__Merrimack,0
admin name2__Mesa,0
admin name2__Miami,0
admin name2__Miami-Dade,0
admin name2__Middlesex,0
admin name2__Midland,0
admin name2__Mifflin,0
admin name2__Milam,0
admin name2__Mille Lacs,0
admin name2__Miller,0
admin name2__Milwaukee,0
admin name2__Minnehaha,0
admin name2__Missaukee,0
admin name2__Mississippi,0
admin name2__Missoula,0
admin name2__Mitchell,0
admin name2__Mobile,0
admin name2__Modoc,0
admin name2__Mohave,0
admin name2__Monmouth,0
admin name2__Monona,0
admin name2__Monongalia,0
admin name2__Monroe,0
admin name2__Monterey,0
admin name2__Montezuma,0
admin name2__Montgomery,0
admin name2__Montmorency,0
admin name2__Montrose,0
admin name2__Moore,0
admin name2__Morgan,0
admin name2__Morris,0
admin name2__Morrison,0
admin name2__Morrow,0
admin name2__Motley,0
admin name2__Moultrie,0
admin name2__Mower,0
admin name2__Muhlenberg,0
admin name2__Multnomah,0
admin name2__Murray,0
admin name2__Muscatine,0
admin name2__Muscogee,0
admin name2__Muskegon,0
admin name2__Muskingum,0
admin name2__Muskogee,0
admin name2__Napa,0
admin name2__Nash,0
admin name2__Nassau,0
admin name2__Navajo,0
admin name2__Nelson,0
admin name2__Nemaha,0
admin name2__Neshoba,0
admin name2__Nevada,0
admin name2__New Castle,0
admin name2__New Hanover,0
admin name2__New Haven,0
admin name2__New London,0
admin name2__New York,10
admin name2__Newaygo,0
admin name2__Newberry,0
admin name2__Newton,0
admin name2__Nez Perce,0
admin name2__Niagara,0
admin name2__Noble,0
admin name2__Nobles,0
admin name2__Norfolk,0
admin name2__Norfolk (city),0
admin name2__Northampton,0
admin name2__Northumberland,0
admin name2__Nowata,0
admin name2__Noxubee,0
admin name2__Nueces,0
admin name2__Nye,0
admin name2__Oakland,0
admin name2__Ocean,24
admin name2__Oconee,0
admin name2__Oconto,0
admin name2__Ogle,0
admin name2__Ohio,0
admin name2__Okaloosa,56
admin name2__Okanogan,0
admin name2__Okeechobee,0
admin name2__Oklahoma,0
admin name2__Okmulgee,0
admin name2__Oktibbeha,0
admin name2__Oldham,0
admin name2__Olmsted,0
admin name2__Oneida,0
admin name2__Onondaga,0
admin name2__Onslow,0
admin name2__Ontario,0
admin name2__Orange,0
admin name2__Orangeburg,0
admin name2__Oregon,0
admin name2__Orleans,0
admin name2__Osage,0
admin name2__Osceola,0
admin name2__Oswego,0
admin name2__Otero,0
admin name2__Otsego,0
admin name2__Ottawa,0
admin name2__Ouachita Parish,0
admin name2__Outagamie,0
admin name2__Owen,0
admin name2__Ozaukee,0
admin name2__Palm Beach,0
admin name2__Palo Alto,0
admin name2__Palo Pinto,0
admin name2__Panola,0
admin name2__Parker,0
admin name2__Parmer,0
admin name2__Pasco,0
admin name2__Passaic,0
admin name2__Patrick,0
admin name2__Paulding,0
admin name2__Payne,0
admin name2__Peach,0
admin name2__Pearl River,0
admin name2__Pennington,0
admin name2__Penobscot,0
admin name2__Peoria,0
admin name2__Perry,0
admin name2__Pershing,0
admin name2__Phelps,0
admin name2__Philadelphia,0
admin name2__Phillips,0
admin name2__Piatt,0
admin name2__Pickaway,0
admin name2__Pickens,0
admin name2__Pierce,0
admin name2__Pike,0
admin name2__Pima,0
admin name2__Pinal,0
admin name2__Pine,0
admin name2__Pinellas,0
admin name2__Pitkin,0
admin name2__Pitt,0
admin name2__Pittsburg,0
admin name2__Pittsylvania,0
admin name2__Placer,0
admin name2__Plymouth,0
admin name2__Poinsett,0
admin name2__Polk,0
admin name2__Pontotoc,0
admin name2__Pope,0
admin name2__Portage,0
admin name2__Porter,0
admin name2__Portsmouth (city),0
admin name2__Posey,0
admin name2__Pottawatomie,0
admin name2__Pottawattamie,0
admin name2__Potter,0
admin name2__Powell,0
admin name2__Poweshiek,0
admin name2__Presque Isle,0
admin name2__Preston,0
admin name2__Prince Edward,0
admin name2__Prince George's,6
admin name2__Prince William,0
admin name2__Providence,0
admin name2__Pueblo,0
admin name2__Pulaski,0
admin name2__Pushmataha,0
admin name2__Putnam,0
admin name2__Queen Anne's,0
admin name2__Queens,0
admin name2__Rabun,0
admin name2__Racine,0
admin name2__Radford (city),0
admin name2__Raleigh,0
admin name2__Ramsey,0
admin name2__Randall,0
admin name2__Randolph,0
admin name2__Rankin,0
admin name2__Ransom,0
admin name2__Rapides,0
admin name2__Ravalli,0
admin name2__Ray,0
admin name2__Red River,0
admin name2__Redwood,0
admin name2__Refugio,0
admin name2__Rensselaer,0
admin name2__Renville,0
admin name2__Rhea,0
admin name2__Rice,0
admin name2__Rich,0
admin name2__Richland,8
admin name2__Richmond,0
admin name2__Ritchie,0
admin name2__Riverside,0
admin name2__Roane,0
admin name2__Roanoke,0
admin name2__Roanoke (city),0
admin name2__Robertson,0
admin name2__Rock,0
admin name2__Rock Island,0
admin name2__Rockbridge,0
admin name2__Rockcastle,0
admin name2__Rockdale,0
admin name2__Rockingham,0
admin name2__Rockland,0
admin name2__Rockwall,0
admin name2__Rogers,0
admin name2__Roosevelt,0
admin name2__Ross,0
admin name2__Rowan,0
admin name2__Rusk,0
admin name2__Russell,0
admin name2__Rutherford,0
admin name2__Rutland,0
admin name2__Sabine,0
admin name2__Sac,0
admin name2__Sacramento,1
admin name2__Saginaw,0
admin name2__Saint Charles,0
admin name2__Saint Johns,0
admin name2__Salem,0
admin name2__Salem (city),0
admin name2__Saline,0
admin name2__Salt Lake,10
admin name2__Saluda,0
admin name2__Sampson,0
admin name2__San Bernardino,0
admin name2__San Diego,0
admin name2__San Joaquin,0
admin name2__San Juan,0
admin name2__San Luis Obispo,0
admin name2__San Mateo,0
admin name2__San Patricio,0
admin name2__Sandoval,0
admin name2__Sandusky,0
admin name2__Sangamon,0
admin name2__Sanilac,0
admin name2__Santa Barbara,0
admin name2__Santa Clara,0
admin name2__Santa Cruz,11
admin name2__Santa Fe,0
admin name2__Santa Rosa,0
admin name2__Sarasota,0
admin name2__Saratoga,0
admin name2__Sarpy,0
admin name2__Sauk,0
admin name2__Schenectady,0
admin name2__Schoharie,0
admin name2__Scioto,0
admin name2__Scott,0
admin name2__Sebastian,0
admin name2__Sedgwick,0
admin name2__Seminole,0
admin name2__Seneca,0
admin name2__Sequatchie,0
admin name2__Sequoyah,0
admin name2__Sevier,0
admin name2__Sharp,0
admin name2__Shasta,0
admin name2__Shawnee,0
admin name2__Sheboygan,0
admin name2__Shelby,0
admin name2__Sherburne,0
admin name2__Sheridan,0
admin name2__Shiawassee,0
admin name2__Simpson,0
admin name2__Sioux,0
admin name2__Siskiyou,0
admin name2__Skagit,0
admin name2__Smith,0
admin name2__Smyth,0
admin name2__Snohomish,0
admin name2__Snyder,0
admin name2__Solano,0
admin name2__Somerset,0
admin name2__Sonoma,0
admin name2__Spalding,0
admin name2__Spartanburg,0
admin name2__Spencer,0
admin name2__Spokane,0
admin name2__Spotsylvania,0
admin name2__St. Bernard,0
admin name2__St. Charles,0
admin name2__St. Clair,0
admin name2__St. Francis,0
admin name2__St. Francois,0
admin name2__St. Helena,0
admin name2__St. Joseph,0
admin name2__St. Landry,0
admin name2__St. Lawrence,0
admin name2__St. Louis,0
admin name2__St. Louis (city),0
admin name2__St. Lucie,0
admin name2__St. Martin,0
admin name2__St. Mary's,0
admin name2__St. Tammany,0
